Identifier	Person_Name	Person_FirstName	Person_SSN	Person_BirthDate	Person_MaritalStatus	Person_Classifications	Person_Address_Line1	Person_Address_Line2	Person_Address_ZipCode	Person_Address_City	Person_Address_Country	Person_Address_State	Person_BirthRank	Person_AttachedToAnOtherSSN	Person_Gender	BankAccount_Name	BankAccount_EffectiveDate	BankAccount_EndDate	BankAccount_AccountType	BankAccount_Address_Line1	BankAccount_Address_Line2	BankAccount_Address_ZipCode	BankAccount_Address_City	BankAccount_Address_Country	BankAccount_Address_State	BankAccount_AccountHolderName	BankAccount_DepositType	BankAccount_Currency	BankAccount_AccountNumber	BankAccount_RoutingNumber	BankAccount_PrenoteCompleted	BankAccount_Validated	LegalEntityId	HireDate	TerminationDate	TerminationReason	EmployeeInformationEffectiveDate	EmploymentStatus	BaseSalaryAmount	BaseSalaryFrequency	WorkingHours	WorkingHoursDefinedForFrequency	WorkingCategory	SalaryCommissionAmount	SalaryCommissionFrequency	SalaryBonusAmount	SalaryBonusFrequency	WorksiteState	Dummy	Dummy2	
351860757	Alstma	Susan	655176683	09/05/1979	Single	Non smoker,Non smoker,Smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	1991 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Female	Chase Manhattan Bank	--/--/----	--/--/----	Checking	2003 Lexington Avenue		10015	NEW YORK	USA	NY	Alstma	NA	USD	000140867198393	091000019			000000000C	11/16/2007			11/16/2007	Active	31970	Annually	40	Weekly	Full time	0		0			0	0
351860765	Irwlilo	Pedro	627487338	06/26/1973	Single	Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	4691 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Male	Chase Manhattan Bank	--/--/----	--/--/----	Checking	5261 Lexington Avenue		10015	NEW YORK	USA	NY	Irwlilo	NA	USD	000140867119880	091000019			000000000C	11/22/2007			11/22/2007	Active	32723	Annually	40	Weekly	Full time	0		0			0	0
351860772	Essuraberto	Susan	254135218	03/01/1968	Single	Non smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	8238 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Female	Chase Manhattan Bank	--/--/----	--/--/----	Checking	6808 Lexington Avenue		10015	NEW YORK	USA	NY	Essuraberto	NA	USD	000140867125173	091000019			000000000C	03/16/2007			03/16/2007	Active	33012	Annually	40	Weekly	Full time	0		0			0	0
351860780	Loberto	Laurence	424574522	03/11/1961	Single	Smoker,Non smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	2251 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Female	Chase Manhattan Bank	--/--/----	--/--/----	Checking	4930 Lexington Avenue		10015	NEW YORK	USA	NY	Loberto	NA	USD	000140867131927	091000019			000000000C	06/14/2007			06/14/2007	Active	47136	Annually	40	Weekly	Full time	0		0			0	0
351860788	Alststel	Tom	144423273	04/01/1977	Single	Smoker,Smoker,Non smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	9675 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Male	Chase Manhattan Bank	--/--/----	--/--/----	Checking	3348 Lexington Avenue		10015	NEW YORK	USA	NY	Alststel	NA	USD	000140867105654	091000019			000000000C	12/06/2007			12/06/2007	Active	30005	Annually	40	Weekly	Full time	0		0			0	0
351860796	Essonran	Susan	233614136	09/12/1974	Single	Smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	1733 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Female	Chase Manhattan Bank	--/--/----	--/--/----	Checking	6693 Lexington Avenue		10015	NEW YORK	USA	NY	Essonran	NA	USD	000140867188385	091000019			000000000C	02/03/2007			02/03/2007	Active	44776	Annually	40	Weekly	Full time	0		0			0	0
351860804	Crama	William	121455567	09/08/1979	Single	Smoker,Smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	1054 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Male	Chase Manhattan Bank	--/--/----	--/--/----	Checking	5325 Lexington Avenue		10015	NEW YORK	USA	NY	Crama	NA	USD	000140867157637	091000019			000000000C	07/03/2007			07/03/2007	Active	48253	Annually	40	Weekly	Full time	0		0			0	0
351860812	Alstsuraneuven	Peter	441216534	03/29/1964	Single	Smoker,Smoker,Smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	5425 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Male	Chase Manhattan Bank	--/--/----	--/--/----	Checking	6743 Lexington Avenue		10015	NEW YORK	USA	NY	Alstsuraneuven	NA	USD	000140867146490	091000019			000000000C	11/24/2007			11/24/2007	Active	32786	Annually	40	Weekly	Full time	0		0			0	0
351860819	Ewinranran	Eduard	271385317	03/22/1967	Single	Non smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	3907 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Male	Chase Manhattan Bank	--/--/----	--/--/----	Checking	2245 Lexington Avenue		10015	NEW YORK	USA	NY	Ewinranran	NA	USD	000140867121957	091000019			000000000C	05/19/2007			05/19/2007	Active	40798	Annually	40	Weekly	Full time	0		0			0	0
351860827	Esstel	Peter	385271734	03/07/1978	Single	Smoker,Non smoker,Smoker,Smoker,Smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Non smoker,Smoker,Smoker,Non smoker,Smoker,Non smoker,	1905 Lexington Avenue		10015	NEW YORK	USA	NY	1	False	Male	Chase Manhattan Bank	--/--/----	--/--/----	Checking	8245 Lexington Avenue		10015	NEW YORK	USA	NY	Esstel	NA	USD	000140867123045	091000019			000000000C	06/20/2007			06/20/2007	Active	38496	Annually	40	Weekly	Full time	0		0			0	0
