Network;Name;Firstname;Title;m/f;DOB;marital status;Address;PROVINCE/etats;Zip code;City;Country;CONTACT
United Brokers;David;Richard;M.;Male;11/21/1978;Single;2638 Cliffside Drive;NY;13780;Guilford;USA;(607) 373-2088
United Brokers;Abdo;Joseph;M.;Male;06/07/1937;Widowed;4588 Emma Street;TX;79401;Lubbock;USA;(806) 787-1444
United Brokers;Schwarz;Jacqueline;Mrs;Female;01/18/1958;Married;4656 Saint Marys Avenue;NY;13350;Herkimer;USA;(315) 867-8158
United Brokers;Vann;Angela;Mrs;Female;06/20/1946;Single;3233 Martha Ellen Drive;NV;89501;Reno;USA;(775) 771-3354
United Brokers;Lawler;James;M.;Male;10/05/1947;Widowed;3083 Flanigan Oaks Drive;MD;20770;Greenbelt;USA;(301) 385-6362
United Brokers;Mckenzie;Leroy;M.;Male;09/12/1939;Widowed;390 Gnatty Creek Road;NY;11743;Huntington;USA;(516) 356-4308
United Brokers;Wynn;Ricky;M.;Male;08/18/1940;Widowed;823 Crestview Terrace;TX ;77901;Victoria;USA;(830) 810-4560
United Brokers;Glass;Kiana;Miss;Female;08/27/1992;Single;2282 John Avenue;MI;48933;Lansing;USA;(517) 881-0906
United Brokers;Chambers;Eric;M.;Male;01/14/1946;Married;3397 Palmer Road;OH;43085;Worthington;USA;(614) 673-2532
United Brokers;Richmond;Brian;M.;Male;03/09/1973;Married;2142 Lighthouse Drive;MO;65806;Springfield;USA;(417) 269-4410
