Name;FirstName;BirthDate;Address_Line1;Address_Line2;Address_ZipCode;Address_City;Address_Country;Address_State;SSN;MaritalStatus;BirthRank;AttachedToAnOtherSSN;Classifications;BankAccount_Name;BankAccount_EffectiveDate;BankAccount_EndDate;BankAccount_AccountType;BankAccount_Address_Line1;BankAccount_Address_Line2;BankAccount_Address_ZipCode;BankAccount_Address_City;BankAccount_Address_Country;BankAccount_Address_State;BankAccount_AccountHolderName;BankAccount_DepositType;BankAccount_Currency;BankAccount_AccountNumber;BankAccount_RoutingNumber;BankAccount_PrenoteCompleted;BankAccount_Validated;LE;MemberId;HireDate;WorksiteState;TerminationDate;TerminationReason;EmploymentStatus;BaseSalaryAmount;BaseSalaryFrequency;WorkingHours;WorkingHoursDefinedForFrequency;WorkingCategory;SalaryCommissionAmount;SalaryCommissionFrequency;SalaryBonusAmount;SalaryBonusFrequency
Hevessy;Thalia;03051975;23 Broadway;;06123;Hartford;USA;CT;765157125;Single;3;FALSE;Smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;11;01012007;CT;;;Active;70700;Annually;40;Weekly;Full time;0;Annually;0;Annually
Milius;Jacinto;05311980;29 Broadway;;06123;Hartford;USA;CT;888393712;Single;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;12;01012007;CT;;;Active;73550;Annually;40;Weekly;Full time;0;Annually;0;Annually
Hoyal;Gaston;02081937;35 Broadway;;06123;Hartford;USA;CT;892331154;Single;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;13;01011993;CT;;;Active;76400;Annually;40;Weekly;Full time;0;Annually;0;Annually
Mielczarek;Shelba;01011970;41 Broadway;;06123;Hartford;USA;CT;317544737;Married;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;14;01012007;CT;;;Active;79250;Annually;40;Weekly;Full time;0;Annually;0;Annually
Linsenmayer;Hai;11251936;47 Broadway;;06123;Hartford;USA;CT;562799947;Married;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;15;01012007;CT;;;Active;82100;Annually;40;Weekly;Full time;0;Annually;0;Annually
Drumheiser;Ezequiel;02081964;53 Broadway;;06123;Hartford;USA;CT;223896683;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;16;01012007;CT;;;Active;84950;Annually;40;Weekly;Full time;0;Annually;0;Annually
Kulbacki;Modesto;04231952;12345 Main Street;;06123;Hartford;USA;CT;221772411;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;17;01012007;CT;;;Active;87800;Annually;40;Weekly;Full time;0;Annually;0;Annually
Fryday;Arlen;07071970;65 Broadway;;06123;Hartford;USA;CT;272449432;Single;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;18;01012007;CT;;;Active;90650;Annually;40;Weekly;Full time;0;Annually;0;Annually
Maurus;Skye;09201978;71 Broadway;;06123;Hartford;USA;CT;836925959;Single;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;19;01012007;CT;;;Active;93500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Bannett;Fernanda;12041976;77 Broadway;;06123;Hartford;USA;CT;633791856;Single;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;20;01012007;CT;;;Active;96350;Annually;40;Weekly;Full time;0;Annually;0;Annually
Murasso;Benedict;02171975;83 Broadway;;06123;Hartford;USA;CT;285745264;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;21;01012007;CT;;;Active;99200;Annually;40;Weekly;Full time;0;Annually;0;Annually
Ecklar;Asa;02171975;89 Broadway;;06123;Hartford;USA;CT;859246338;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;22;07022007;CT;;;Active;99200;Annually;40;Weekly;Full time;0;Annually;0;Annually
Demyers;Billye;09151942;10 Main Street;;74103;Tulsa;USA;OK;224335463;Single;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;23;09052006;OK;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Goick;Stanton;08151975;15 Broadway;;77995;San Marcos;USA;TX;343945918;Single;2;FALSE;Smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;24;06052007;TX;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Pecatoste;Sid;09041974;22 Lawrence;;97086;Portland;USA;OR;854596694;Single;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;25;09012004;OR;;;Active;26233.15;Annually;40;Weekly;Full time;0;Annually;0;Annually
Mithani;Luigi;07121965;55 Kansas Ave;;45201;Cincinnati;USA;OH;615185126;Single;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;26;09012003;OH;;;Active;22456;Annually;40;Weekly;Full time;0;Annually;0;Annually
Mantegna;Janessa;01221965;12 Lincoln;;68102;Omaha;USA;NE;259413485;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;27;09042005;NE;;;Active;358;Weekly;40;Weekly;Full time;0;Weekly;0;Weekly
Drafall;Walton;01221942;15 Tower of Americas;;10001;New York;USA;NY;397692799;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;28;09042005;NY;;;Active;19000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Kloppenburg;Zack;06171964;12 Caliper Court;;10001;New York;USA;NY;732385141;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;29;09062004;NY;;;Active;29500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Chisnall;Gertrud;07241962;1524 South Hubbard Street ;;45201;Cincinnati;USA;OH;432125132;Married;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;30;04152000;OH;;;Active;32500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Hamnon;Glinda;08241961;26 Circle Lane;;10001;New York;USA;NY;559988625;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;31;05012007;NY;;;Active;12500;Annually;20;Weekly;Part time;0;Annually;0;Annually
Heilbron;Dell;03141954;206 Main Street;;77995;San Marcos;USA;TX;314452274;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;32;03012007;TX;;;Active;16000;Annually;25;Weekly;Part time;0;Annually;0;Annually
Muschick;Patrina;04191952;29 Lawrence Circle;;45201;Cincinnati;USA;OH;265887857;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;33;07152001;OH;;;Active;35000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Jirak;Florentina;10161963;49 Bankers Court;;74103;Tulsa;USA;OK;689941813;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;34;04192004;OK;;;Active;250000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Lovetinsky;Willia;09221971;6987 Main St.;;97086;Portland;USA;OR;781785547;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;35;10121999;OR;;;Active;28560;Annually;40;Weekly;Full time;0;Annually;0;Annually
Bungart;Ayana;08151975;15 Broadway;;77995;San Marcos;USA;TX;222512396;Single;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;36;07022007;TX;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Mccumbee;Porter;02131942;45 Johnson Way;;68102;Omaha;USA;NE;673782687;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;37;10012004;NE;;;Active;32480;Annually;40;Weekly;Full time;0;Annually;0;Annually
Campagnone;Luigi;09151942;11 Main Street;;74103;Tulsa;USA;OK;324764968;Single;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;38;09052006;OK;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Blaszczyk;Arnetta;08151975;15 Broadway;;77995;San Marcos;USA;TX;674676734;Single;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;39;09052006;TX;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Mccard;Modesto;08151975;15 Broadway;;77995;San Marcos;USA;TX;683364226;Single;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;40;09052006;TX;;;Active;26233.15;Annually;40;Weekly;Full time;0;Annually;0;Annually
Galetta;Jeromy;09041974;23 Lawrence;;97086;Portland;USA;OR;862361915;Single;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;41;09052006;OR;;;Active;22456;Annually;40;Weekly;Full time;0;Annually;0;Annually
Cassard;Cammie;07121965;56 Kansas Ave;;45201;Cincinnati;USA;OH;697697932;Single;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;42;09052006;OH;;;Active;21456;Annually;40;Weekly;Full time;0;Annually;0;Annually
Mondoux;Cristopher;01221965;13 Lincoln;;68102;Omaha;USA;NE;753224999;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;43;09052006;NE;;;Active;19000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Aubel;Hyman;01221942;16 Tower of Americas;;10001;New York;USA;NY;164941297;Married;4;FALSE;Smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;44;09052006;NY;;;Active;29500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Bringas;Rolf;06171964;13 Caliper Court;;10001;New York;USA;NY;253963326;Married;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;45;09052006;NY;;;Active;32500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Bejger;Clementina;07241962;1525 South Hubbard Street ;;45201;Cincinnati;USA;OH;641684949;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;46;09052006;OH;;;Active;12500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Capitani;Kathern;08241961;27 Circle Lane;;10001;New York;USA;NY;821874684;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;47;09052006;NY;;;Active;16000;Annually;20;Weekly;Part time;0;Annually;0;Annually
Chasnoff;Leif;03141954;207 Main Street;;77995;San Marcos;USA;TX;915246784;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;48;09052006;TX;;;Active;20000;Annually;25;Weekly;Part time;0;Annually;0;Annually
Cureau;Colton;04191952;30 Lawrence Circle;;45201;Cincinnati;USA;OH;874888383;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;49;09052006;OH;;;Active;26943;Annually;40;Weekly;Full time;0;Annually;0;Annually
Losacco;Walton;10161963;50 Bankers Court;;74103;Tulsa;USA;OK;792425465;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;50;09052006;OK;;;Active;28560;Annually;40;Weekly;Full time;0;Annually;0;Annually
Imam;Velvet;09221971;6988 Main St.;;97086;Portland;USA;OR;833813223;Married;1;FALSE;Smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;51;09052006;OR;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Kavaney;Winford;02131942;46 Johnson Way;;68102;Omaha;USA;NE;759388981;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;52;09052006;NE;;;Active;32480;Annually;40;Weekly;Full time;0;Annually;0;Annually
Barsegyan;Janessa;09151942;12 Main Street;;74103;Tulsa;USA;OK;554723118;Single;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;53;09052006;OK;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Leversee;Lynwood;08151975;15 Broadway;;77995;San Marcos;USA;TX;151798211;Single;2;FALSE;Smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;54;09052006;TX;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Kunimitsu;Lera;08151975;15 Broadway;;77995;San Marcos;USA;TX;999284858;Single;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;55;09052006;TX;;;Active;26233.15;Annually;40;Weekly;Full time;0;Annually;0;Annually
Goda;Waylon;09041974;24 Lawrence;;97086;Portland;USA;OR;938787165;Single;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;56;09052006;OR;;;Active;22456;Annually;40;Weekly;Full time;0;Annually;0;Annually
Meggerson;Mose;07121965;57 Kansas Ave;;45201;Cincinnati;USA;OH;426987168;Single;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;57;09052006;OH;;;Active;24000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Leuga;Hyun;01221965;14 Lincoln;;68102;Omaha;USA;NE;165894613;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;58;09052006;NE;;;Active;19000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Dorcent;Del;01221942;17 Tower of Americas;;10001;New York;USA;NY;919698944;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;59;09052006;NY;;;Active;29500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Aseng;Kasey;06171964;14 Caliper Court;;10001;New York;USA;NY;891193275;Married;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;60;09052006;NY;;;Active;32500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Karstensen;Titus;07241962;1526 South Hubbard Street ;;45201;Cincinnati;USA;OH;934324931;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;61;09052006;OH;;;Active;12500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Olay;Len;08241961;28 Circle Lane;;10001;New York;USA;NY;573776684;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;62;09052006;NY;;;Active;16000;Annually;20;Weekly;Part time;0;Annually;0;Annually
Moevao;Rudolf;03141954;208 Main Street;;77995;San Marcos;USA;TX;592951539;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;63;09052006;TX;;;Active;20000;Annually;25;Weekly;Part time;0;Annually;0;Annually
Araldi;Lino;04191952;31 Lawrence Circle;;45201;Cincinnati;USA;OH;539599431;Married;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;64;09052006;OH;;;Active;32641;Annually;40;Weekly;Full time;0;Annually;0;Annually
Noullet;Jae;10161963;51 Bankers Court;;74103;Tulsa;USA;OK;544447272;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;65;09052006;OK;;;Active;28560;Annually;40;Weekly;Full time;0;Annually;0;Annually
Paulmino;Venice;09221971;6989 Main St.;;97086;Portland;USA;OR;667492861;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;66;09052006;OR;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Baumli;Modesto;02131942;47 Johnson Way;;68102;Omaha;USA;NE;443166967;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;67;09052006;NE;;;Active;32480;Annually;40;Weekly;Full time;0;Annually;0;Annually
Adamowski;Rudolf;09151942;13 Main Street;;74103;Tulsa;USA;OK;612714567;Single;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;68;09052006;OK;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Molavi;Venice;08151975;15 Broadway;;77995;San Marcos;USA;TX;146616976;Single;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;69;09052006;TX;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Heppert;Rebbecca;08151975;15 Broadway;;77995;San Marcos;USA;TX;494112712;Single;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;70;09052006;TX;;;Active;26233.15;Annually;40;Weekly;Full time;0;Annually;0;Annually
Fehn;Lindsay;09041974;25 Lawrence;;97086;Portland;USA;OR;876366165;Single;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;71;09052006;OR;;;Active;22456;Annually;40;Weekly;Full time;0;Annually;0;Annually
Ireson;Song;07121965;58 Kansas Ave;;45201;Cincinnati;USA;OH;835294522;Single;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;72;09052006;OH;;;Active;25000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Basone;Luigi;01221965;15 Lincoln;;68102;Omaha;USA;NE;546946369;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;73;09052006;NE;;;Active;19000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Filonuk;Benton;01221942;18 Tower of Americas;;10001;New York;USA;NY;985832899;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;74;09052006;NY;;;Active;29500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Chagollan;Gayle;06171964;15 Caliper Court;;10001;New York;USA;NY;721498173;Married;2;FALSE;Smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;75;09052006;NY;;;Active;32500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Penwarden;Emmy;07241962;1527 South Hubbard Street ;;45201;Cincinnati;USA;OH;362789882;Married;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;76;09052006;OH;;;Active;12500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Floch;Broderick;08241961;65 Jones Drive;;6123;Hartford;USA;CT;215387942;Married;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;77;09052006;CT;;;Active;16250;Annually;20;Weekly;Part time;0;Annually;0;Annually
Cavaleri;Deangelo;03141954;66 Jones Drive;;6123;Hartford;USA;CT;676781464;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;78;09052006;CT;;;Active;20000;Annually;25;Weekly;Part time;0;Annually;0;Annually
Gibes;Ashli;04191952;67 Jones Drive;;6123;Hartford;USA;CT;177538374;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;79;09052006;CT;;;Active;26874;Annually;40;Weekly;Full time;0;Annually;0;Annually
Bjorn;Tuan;10161963;68 Jones Drive;;6123;Hartford;USA;CT;165286557;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;80;09052006;CT;;;Active;28560;Annually;40;Weekly;Full time;0;Annually;0;Annually
Henges;Beckie;09221971;69 Jones Drive;;6123;Hartford;USA;CT;252543497;Married;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;81;09052006;CT;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Arzabala;Oswaldo;02131942;48 Johnson Way;;68102;Omaha;USA;NE;678439313;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;82;09052006;NE;;;Active;32480;Annually;40;Weekly;Full time;0;Annually;0;Annually
Klyn;Flavia;09151942;14 Main Street;;74103;Tulsa;USA;OK;575879718;Single;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;83;09052006;OK;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Grashot;Korey;08151975;15 Broadway;;77995;San Marcos;USA;TX;247639684;Single;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;84;09052006;TX;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Malarkey;Dayle;08151975;15 Broadway;;77995;San Marcos;USA;TX;829678329;Single;2;FALSE;Smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;85;09052006;TX;;;Active;26233.15;Annually;40;Weekly;Full time;0;Annually;0;Annually
Mcwalters;Elizbeth;09041974;26 Lawrence;;97086;Portland;USA;OR;684122842;Single;4;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;86;09052006;OR;;;Active;22456;Annually;40;Weekly;Full time;0;Annually;0;Annually
Beedoo;Cristopher;07121965;59 Kansas Ave;;45201;Cincinnati;USA;OH;563877768;Single;3;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;87;09052006;OH;;;Active;23589;Annually;40;Weekly;Full time;0;Annually;0;Annually
Hendrics;Kiesha;01221965;16 Lincoln;;68102;Omaha;USA;NE;441829199;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;88;09052006;NE;;;Active;19000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Annabel;Jospeh;01221942;19 Tower of Americas;;10001;New York;USA;NY;953689595;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;89;09052006;NY;;;Active;29500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Behimer;Rachell;06171964;16 Caliper Court;;10001;New York;USA;NY;154757538;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;90;09052006;NY;;;Active;32500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Montgonery;Colton;07241962;1528 South Hubbard Street ;;45201;Cincinnati;USA;OH;578442147;Married;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;91;09052006;OH;;;Active;12500;Annually;40;Weekly;Full time;0;Annually;0;Annually
Christoffer;Tabetha;08241961;30 Circle Lane;;10001;New York;USA;NY;596778269;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;92;09052006;NY;;;Active;16500;Annually;20;Weekly;Part time;0;Annually;0;Annually
Haroun;Hai;03141954;210 Main Street;;77995;San Marcos;USA;TX;421285637;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;93;09052006;TX;;;Active;20000;Annually;25;Weekly;Part time;0;Annually;0;Annually
Krzan;Elden;04191952;33 Lawrence Circle;;45201;Cincinnati;USA;OH;926431841;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;94;09052006;OH;;;Active;35287;Annually;40;Weekly;Full time;0;Annually;0;Annually
Byther;Alejandrina;10161963;53 Bankers Court;;74103;Tulsa;USA;OK;988639599;Married;3;FALSE;Smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;95;09052006;OK;;;Active;28560;Annually;40;Weekly;Full time;0;Annually;0;Annually
Perrot;Sommer;09221971;6991 Main St.;;97086;Portland;USA;OR;963658258;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;96;09052006;OR;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Hemeyer;Alia;02131942;49 Johnson Way;;68102;Omaha;USA;NE;843258366;Married;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;97;09052006;NE;;;Active;32480;Annually;40;Weekly;Full time;0;Annually;0;Annually
Debraga;Loree;09151942;15 Main Street;;74103;Tulsa;USA;OK;191458778;Single;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;98;09052006;OK;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Derion;Titus;08151975;15 Broadway;;77995;San Marcos;USA;TX;341991681;Single;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;99;09052006;TX;;;Active;30000;Annually;40;Weekly;Full time;0;Annually;0;Annually
Gitzlaff;Len;08151975;15 Broadway;;77995;San Marcos;USA;TX;615487372;Single;2;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;100;09052006;TX;;;Active;26233.15;Annually;40;Weekly;Full time;0;Annually;0;Annually
Braught;Deeann;09041974;27 Lawrence;;97086;Portland;USA;OR;528712867;Single;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;101;09052006;OR;;;Active;22456;Annually;40;Weekly;Full time;0;Annually;0;Annually
Heddins;Benton;07121965;60 Kansas Ave;;45201;Cincinnati;USA;OH;469554735;Single;1;FALSE;Non smoker;;;;;;;;;;;;;;;;;FALSE;0000000002;102;09052006;OH;;;Active;26987;Annually;40;Weekly;Full time;0;Annually;0;Annually
