Identifier	Person_Name	Person_FirstName	Person_SSN	Person_BirthDate	Person_MaritalStatus	Person_Classifications	Person_Address_Line1	Person_Address_Line2	Person_Address_ZipCode	Person_Address_City	Person_Address_Country	Person_Address_State	Person_BirthRank	Person_AttachedToAnOtherSSN	Person_Gender	BankAccount_Name	BankAccount_EffectiveDate	BankAccount_EndDate	BankAccount_AccountType	BankAccount_Address_Line1	BankAccount_Address_Line2	BankAccount_Address_ZipCode	BankAccount_Address_City	BankAccount_Address_Country	BankAccount_Address_State	BankAccount_AccountHolderName	BankAccount_DepositType	BankAccount_Currency	BankAccount_AccountNumber	BankAccount_RoutingNumber	BankAccount_PrenoteCompleted	BankAccount_Validated	LegalEntityId	HireDate	TerminationDate	TerminationReason	EmployeeInformationEffectiveDate	EmploymentStatus	BaseSalaryAmount	BaseSalaryFrequency	WorkingHours	WorkingHoursDefinedForFrequency	WorkingCategory	SalaryCommissionAmount	SalaryCommissionFrequency	SalaryBonusAmount	SalaryBonusFrequency	WorksiteState
906203	Hall	James	141678057	10/21/1965	Single	Non smoker	5764 Boston Ave		71314	New York	USA	NY	1	FALSE	Male	TCFBank	08/18/2003		Checking	56320 Eagan ave		46040	Texas	USA	TX	HallJames	NA	USD	1,41E+11	91000019		TRUE	0000000002	08/24/2004			08/24/2004	Active	37325	Annually	40	weekly	Full time	0		0		MN
671786	Allen	John	473425923	02/27/1965	Single	Non smoker	5764 Boston Ave		71314	New York	USA	NY	1	FALSE	Male	TCFbank	08/25/2000		Checking	790 16th Street		91067	Minnesota	USA	MN	AllenJohn	NA	USD	1,41E+11	91000019		TRUE	0000000002	08/24/2004			08/24/2004	Active	37325	Annually	40	weekly	Full time	0		0		MN
167852	Lopez	Richard	276649408	01/11/1965	Single	Non smoker	4587 Robert Ave		11665	Boston	USA	MS	1	FALSE	Male	BankofAmerica	04/16/2004		Checking	34 Richard Ave		44998	Boston	USA	MS	LopezRichard	NA	USD	1,41E+11	91000019		TRUE	0000000002	08/24/2004			08/24/2004	Active	79620	Annually	40	weekly	Full time	0		0		MN
579820	Hill	Charles	593452601	05/02/1964	Single	Non smoker	4587 Robert Ave		11665	Boston	USA	MS	1	FALSE	Male	BankofAmerica	04/16/2004		Checking	34 Richard Ave		44998	Boston	USA	MS	HillCharles	NA	USD	1,41E+11	91000019		TRUE	0000000002	08/24/2004			08/24/2004	Active	79682	Annually	40	weekly	Full time	0		0		NY
271002	Scott	Joseph	840526465	09/30/1964	Single	Non smoker	4587 Robert Ave		11665	Boston	USA	MS	1	FALSE	Male	BankofAmerica	04/16/2004		Checking	34 Richard Ave		44998	Boston	USA	MS	ScottJoseph	NA	USD	1,41E+11	91000019		TRUE	0000000002	08/24/2004			08/24/2004	Active	79682	Annually	40	weekly	Full time	0		0		NY
866027	Green	Thomas	151260192	12/28/1966	Single	Non smoker	4587 Robert Ave		11665	Boston	USA	MS	1	FALSE	Male	BankofAmerica	04/16/2004		Checking	34 Richard Ave		44998	Boston	USA	MS	GreenThomas	NA	USD	1,41E+11	91000019		TRUE	0000000002	08/24/2004			08/24/2004	Active	79682	Annually	40	weekly	Full time	0		0		NY
734627	Carter	Donald	426503647	11/13/1964	Single	Non smoker	4587 Robert Ave		11665	Boston	USA	MS	1	FALSE	Male	BankofAmerica	04/16/2004		Checking	34 Richard Ave		44998	Boston	USA	MS	CarterDonald	NA	USD	1,41E+11	91000019		TRUE	0000000002	08/24/2004			08/24/2004	Active	79682	Annually	40	weekly	Full time	0		0		NY
431730	Mitchell	George	115449894	04/25/1965	Single	Non smoker	4587 Robert Ave		11665	Boston	USA	MS	1	FALSE	Male	BankofAmerica	04/16/2004		Checking	34 Richard Ave		44998	Boston	USA	MS	MitchellGeorge	NA	USD	1,41E+11	91000019		TRUE	0000000002	08/24/2004			08/24/2004	Active	71250	Annually	40	weekly	Full time	0		0		NY
464922	Perez	Kenneth	901471595	05/09/1960	Single	Non smoker	4587 Robert Ave		11665	Boston	USA	MS	1	FALSE	Male	BankofAmerica	04/16/2004		Checking	34 Richard Ave		44998	Boston	USA	MS	PerezKenneth	NA	USD	1,41E+11	91000019		TRUE	0000000002	08/24/2004			08/24/2004	Active	66505	Annually	40	weekly	Full time	0		0		MN
475058	Roberts	Steven	287039224	03/01/1960	Single	Non smoker	4587 Robert Ave		11665	Boston	USA	MS	1	FALSE	Male	BankofAmerica	04/16/2004		Checking	34 Richard Ave		44998	Boston	USA	MS	RobertsSteven	NA	USD	1,41E+11	91000019		TRUE	0000000002	08/24/2004			08/24/2004	Active	66505	Annually	40	weekly	Full time	0		0		MN
369076	Parker	Anthony	210559958	04/26/1959	Single	Non smoker	4587 Robert Ave		11665	Boston	USA	MS	1	FALSE	Male	BankofAmerica	04/16/2004		Checking	34 Richard Ave		44998	Boston	USA	MS	ParkerAnthony	NA	USD	1,41E+11	91000019		TRUE	0000000002	08/24/2004			08/24/2004	Active	86590	Annually	40	weekly	Full time	0		0		MN
891984	Wilson	Susan	731742710	03/06/1958	Single	Non smoker	4587 Robert Ave		11665	Boston	USA	MS	1	FALSE	Female	BankofAmerica	04/16/2004		Checking	34 Richard Ave		44998	Boston	USA	MS	WilsonSusan	NA	USD	1,41E+11	91000019		TRUE	0000000002	08/24/2004			08/24/2004	Active	74274	Annually	40	weekly	Full time	0		0		NY
389728	Rodriguez	Laura	617592503	01/25/1930	Single	Non smoker	4587 Robert Ave		11665	Boston	USA	MS	1	FALSE	Female	BankofAmerica	04/16/2004		Checking	34 Richard Ave		44998	Boston	USA	MS	RodriguezLaura	NA	USD	1,41E+11	91000019		TRUE	0000000002	08/24/2004			08/24/2004	Active	120000	Annually	40	weekly	Full time	0		0		NY
